,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,num1%3,num1/3,num2%3,num2/3,num3%3,num3/3,num4%3,num4/3,num5%3,num5/3,num6%3,num6/3,num7%3,num7/3,sup1%3,sup1/3,sup2%3,sup2/3
168,777,20090106,45,32,27,10,30,37,5,44,35,0,2,2,2,0,1,1,0,0,1,1,2,2,0,2,2,2,2
169,778,20090113,3,38,16,40,41,43,1,9,33,0,0,2,2,1,1,1,2,2,2,1,2,1,0,0,0,0,2
170,779,20090120,15,45,23,8,37,27,35,22,16,0,0,0,2,2,1,2,0,1,2,0,1,2,2,1,1,1,1
171,780,20090127,45,3,21,28,24,34,31,12,42,0,2,0,0,0,1,1,1,0,1,1,2,1,2,0,0,0,2
172,781,20090203,8,24,32,5,35,7,17,12,42,2,0,0,1,2,2,2,0,2,2,1,0,2,1,0,0,0,2
173,782,20090210,5,1,16,23,29,18,44,33,38,2,0,1,0,1,1,2,1,2,1,0,1,2,2,0,2,2,2
174,783,20090217,2,20,4,23,45,41,30,35,6,2,0,2,1,1,0,2,1,0,2,2,2,0,1,2,2,0,0
175,784,20090224,41,13,30,2,45,28,34,3,9,2,2,1,0,0,1,2,0,0,2,1,1,1,2,0,0,0,0
176,785,20090303,8,29,11,33,3,35,26,6,12,2,0,2,1,2,0,0,2,0,0,2,2,2,1,0,0,0,0
177,786,20090310,24,38,29,16,14,13,28,26,9,0,1,2,2,2,1,1,1,2,0,1,0,1,1,2,1,0,0
178,787,20090317,32,6,16,23,27,25,37,40,26,2,2,0,0,1,1,2,1,0,1,1,1,1,2,1,2,2,1
179,788,20090324,37,4,16,27,17,33,35,20,10,1,2,1,0,1,1,0,1,2,1,0,2,2,2,2,1,1,0
180,789,20090331,5,13,44,8,41,15,35,3,17,2,0,1,0,2,2,2,0,2,2,0,0,2,2,0,0,2,1
181,790,20090407,12,26,13,7,35,21,41,6,25,0,0,2,1,1,0,1,0,2,2,0,1,2,2,0,0,1,1
182,791,20090414,33,11,27,20,5,28,1,38,34,0,2,2,0,0,1,2,1,2,0,1,1,1,0,2,2,1,2
183,792,20090421,43,21,22,18,16,20,32,40,9,1,2,0,1,1,1,0,1,1,1,2,1,2,2,1,2,0,0
184,793,20090428,24,43,21,25,1,13,36,33,6,0,1,1,2,0,1,1,1,1,0,1,0,0,2,0,2,0,0
185,794,20090505,12,31,6,42,24,10,20,11,26,0,0,1,2,0,0,0,2,0,1,1,0,2,1,2,0,2,1
186,795,20090512,7,2,32,25,28,40,35,16,21,1,0,2,0,2,2,1,1,1,1,1,2,2,2,1,1,0,1
187,796,20090519,11,22,18,17,25,21,12,28,35,2,0,1,1,0,1,2,1,1,1,0,1,0,0,1,1,2,2
188,797,20090526,19,5,20,41,44,18,43,40,39,1,1,2,0,2,1,2,2,2,2,0,1,1,2,1,2,0,2
189,798,20090602,3,45,32,43,22,20,33,6,34,0,0,0,2,2,2,1,2,1,1,2,1,0,2,0,0,1,2
190,799,20090609,19,44,34,28,30,40,3,27,16,1,1,2,2,1,2,1,1,0,1,1,2,0,0,0,1,1,1
191,800,20090616,29,24,7,32,41,1,22,36,17,2,1,0,1,1,0,2,2,2,2,1,0,1,1,0,2,2,1
192,801,20090623,31,23,40,9,15,21,18,3,19,1,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1
193,802,20090630,12,3,38,21,23,29,40,43,22,0,0,0,0,2,2,0,1,2,1,2,1,1,2,1,2,1,1
